Time-stamp,Range,Bearing
0,4382758.854295956,1.2533523867910783
0,6176567.821138304,0.2506342049976649
0,6444966.3858429985,1.4619266784364786
0,8694976.123984998,1.784395822428382
0,7283444.662119502,-1.3636095570286442
0,6834916.511743178,2.7335809346630984
1,4382292.608524442,1.2533778653794314
1,7098630.003399856,-0.6317929895635468
1,6642254.7048931215,2.5906926924367766
1,8712288.796890415,-2.0259483841908907
1,5511010.919217195,2.4496815318325376
2,4381826.292852861,1.2534033487404939
2,7542128.895728489,-1.8041959938622043
2,8534660.334269166,0.3951483813934256
2,2877073.7649494107,1.9567821540426886
2,6233168.74844688,2.255046707644941
3,4381359.894522032,1.2534288311156787
3,7845340.543197635,3.027587328225542
3,8968752.011878403,-1.6424964123177264
3,8716414.741254598,-0.9958273986681292
3,7840636.42243907,0.2749277543617041
4,1351790.047406025,2.4349688578336837
4,4127880.2420623656,-1.944081417285781
4,7541994.964381082,-1.7373086561965858
4,8469688.76676386,2.4224718795814026
4,4380893.419910972,1.253454315387073
5,4380426.881640351,1.2534798001000191
5,7465413.30491785,2.9703913018338715
5,8807089.650230119,-1.9573064348788878
5,686023.3412742006,-0.17171797826888383
5,7445258.307918743,-2.9421587646092644
6,4172739.9234380876,2.746440049743415
6,8313635.666888172,2.701250568147602
6,4379960.254467849,1.253505288169466
6,637620.8687522813,-1.7902724897424058
6,7220400.438731561,1.285352028787085
7,5977998.091482601,-0.49359016059856514
7,4172058.9929932593,-0.9165746174535906
7,6956095.607687111,-1.4492620198175692
7,7849933.398525938,2.3577882028747132
7,3932062.848726113,0.6646781527279175
7,4379493.5541339945,1.2535307759715757
8,4379026.777518334,1.253556265677217
8,5997790.175860579,-0.8138345332908775
8,8380942.004210201,0.138033838719675
8,8411024.53584866,1.9948706548335269
8,6872409.652638294,1.522452695691604
9,4378559.924620597,1.2535817572883476
9,7058104.09192802,-0.8369536097339714
9,1696702.5169329823,2.257617611620618
9,6607282.86225127,0.7630091271791357
9,6984467.881084313,-0.887602259671872
10,4195484.588456049,3.075808878367984
10,1277512.1164648354,-2.946933372801575
10,3208048.536348541,-0.6919789021924567
10,7767689.837788496,2.025122661019362
10,4378092.98905832,1.2536072479243627
10,6798467.494529907,-2.5292066403545994
11,5122894.581478858,1.2184190719080097
11,7917240.304463354,1.5082453375437044
11,8769739.702621065,-2.3057805439953185
11,7605597.549641715,-2.288021031721753
11,4377625.983595289,1.2536327433520782
11,7464028.31690891,1.0591348972990795
12,6209134.911872673,0.7343569534359562
12,3060557.3817274272,-2.9317587119384307
12,4572897.517006711,-0.5417312169940101
12,6209046.29544225,3.0316521640244494
12,4377158.904967853,1.253658238520503
12,2888457.2012102352,3.045025708085245
13,6717892.226316562,3.106109611755712
13,4591987.110460631,-2.247602655724767
13,6283838.0349181015,2.7935242503801665
13,8954172.637054177,-3.136875146251534
13,4376691.750056768,1.2536837356017578
14,2697564.749498566,1.4834522463383706
14,6278811.678368399,-2.3891673874491968
14,6369894.108760234,0.7028955553617459
14,6177169.376744866,-2.278838388014143
14,8391365.485444807,-0.2540444407272234
14,8858120.877497317,0.40864484809912127
14,4376224.50936029,1.2537092338853184
15,7657302.163016985,1.4788368722795175
15,3762993.797883957,1.0463414495913272
15,4375757.204998782,1.2537347326266928
15,3117186.217278782,-1.705330048643414
15,4632999.641261,1.6627850359429597
16,3486473.3437780743,0.3336219571362778
16,4375289.811733178,1.253760234745418
16,1960653.6516637346,0.12337108770060021
16,5460671.559902793,1.6868592628526957
16,6659230.487944145,0.1067593777080051
17,5286726.8053689115,-2.864587367601957
17,5135510.417230596,-0.8425137479283632
17,6522624.408066271,-2.2621057610208335
17,4021250.013781495,3.06340296881021
17,4374822.345299963,1.2537857366128788
17,2739406.247668688,1.421589775434495
17,7999249.226477585,0.1469307505570831
18,1742800.6464227536,2.42382608355352
18,8739958.440060917,2.7836218541334867
18,8509637.770012353,1.1971043105643295
18,8481965.387828978,-1.0012617531858086
18,5752431.832570172,2.98246522686689
18,4374354.812082905,1.2538112411150204
18,1150267.617176586,-2.0621112911910813
19,8671468.977489727,0.7162798492641854
19,1383384.5531119897,-1.1188804917623547
19,3462254.747427979,2.7870780450169823
19,7726342.891498003,0.13857741707321636
19,4089681.743574339,-0.9174270504045404
19,6911668.07515371,-1.6842073290163972
19,4373887.196195013,1.2538367446562815
20,7675041.1803808985,-0.5186649560165748
20,7385816.296544534,-1.1881375620912114
20,4732453.002277423,-0.988311058180295
20,8767144.40700123,-0.23772243716929095
20,7639178.226869357,-2.680354959266265
20,4373419.500903913,1.2538622522957485
20,6127108.623947503,-0.9840112840833436
21,7010224.005621649,0.9276832519886874
21,3182437.4051108877,-2.888870077421428
21,4372951.732442672,1.2538877596903208
21,7468796.440694467,-1.2236843018512664
21,7826541.672568375,2.7205398648172645
22,3808943.9148354554,3.111279460451095
22,5944023.580899531,-1.7620790473350418
22,7187773.385537405,2.290819436441237
22,6369710.3903016355,-2.9660939342791037
22,4374807.226399762,0.08713887257563618
22,4372483.897196351,1.2539132697270317
22,1790161.9661175525,2.9077977190263833
23,4372015.976160529,1.2539387809825666
23,2688138.940505793,-0.7902357564551681
23,8405717.001106648,0.0754633757545991
23,6857131.405230768,-0.5461699596665447
23,6241820.176159032,-0.2267638657973097
23,4910390.317427873,-1.3337281181928218
24,8746288.891740143,1.036028055813886
24,7691042.120149031,-1.1833101324145663
24,8813790.79769488,-2.548541170639392
24,7605830.942394157,2.8151656341660996
24,3738354.6463859663,3.0202994904405687
24,8365940.79080493,-0.7559777263482295
24,4371547.978836981,1.2539642941715312
25,7267021.190833611,1.366366760989849
25,938240.9952563052,1.1748865523048078
25,3153224.8145243293,-2.1986140212577094
25,5582545.570188457,0.5964758621115849
25,6533656.863517683,-0.5152054794376685
25,4371079.898838416,1.2539898064092687
26,5883748.062444679,0.11324891695715499
26,4370611.7520533735,1.254015321296576
26,4351632.960797857,1.902577305750332
26,4629752.119881899,-2.663681865062019
26,3541787.785424914,-3.0019110229975245
26,4610458.995870628,1.787623017534927
26,1295527.5006555396,0.4278132864235499
27,8797247.01766485,0.3697938240907956
27,4370143.528979319,1.2540408381227335
27,6064087.035047815,0.038267398304211324
27,7044986.512710409,-0.8318679703170846
27,6071691.210953517,-2.297751788872115
27,4494020.366083859,-1.7670687201188138
27,8209103.860903234,-2.724958393701631
28,1877233.244815107,2.9891490566149788
28,6133842.559752505,2.8469995918015947
28,4369675.229615984,1.2540663568897177
28,8582945.17947196,0.8542853786928785
