TrackNumber,Platform,Track-X,Track-Y,Track Id,Track-Z,TrackSpeed,TrackHeading,EpocTimeMilliSeconds
-1,Su-30,1405163.179999999934807,5703226.030000000260770,1,3567630.819999999832362,529.857488538239068,149.424706095483202,1666810800.000000000000000
-1,Su-30,1403450.320000000065193,5699043.290000000037253,1,3574935.970000000204891,529.857488538239068,149.424706095483202,1666810800.000000000000000
-1,Su-30,1431568.060000000055879,5691549.629999999888241,1,3575720.209999999962747,730.018676446256677,102.270589041365554,1666810800.000000000000000
-1,Su-30,1405052.399999999906868,5703389.740000000223517,1,3567414.080000000074506,529.857488538239068,149.424706095483202,1666810801.000000000000000
-1,Su-30,1403339.709999999962747,5699207.230000000447035,1,3574719.390000000130385,529.857488538239068,149.424706095483202,1666810801.000000000000000
-1,Su-30,1431197.709999999962747,5691691.519999999552965,1,3575643.100000000093132,730.018676446256677,102.270589041365554,1666810801.000000000000000
-1,Su-30,1404941.610000000102445,5703553.450000000186265,1,3567197.339999999850988,529.857488538239068,149.424706095483202,1666810802.000000000000000
-1,Su-30,1403229.090000000083819,5699371.150000000372529,1,3574502.810000000055879,529.857488538239068,149.424706095483202,1666810802.000000000000000
-1,Su-30,1430827.360000000102445,5691833.379999999888241,1,3575565.990000000223517,730.018676446256677,102.270589041365554,1666810802.000000000000000
-1,Su-30,1404830.810000000055879,5703717.139999999664724,1,3566980.589999999850988,529.857488538239068,149.424706095483202,1666810803.000000000000000
-1,Su-30,1403118.459999999962747,5699535.070000000298023,1,3574286.229999999981374,529.857488538239068,149.424706095483202,1666810803.000000000000000
-1,Su-30,1430456.989999999990687,5691975.209999999962747,1,3575488.879999999888241,730.018676446256677,102.270589041365554,1666810803.000000000000000
-1,Su-30,1404720.000000000000000,5703880.820000000298023,1,3566763.839999999850988,529.857488538239068,149.424706095483202,1666810804.000000000000000
-1,Su-30,1403007.820000000065193,5699698.969999999739230,1,3574069.640000000130385,529.857488538239068,149.424706095483202,1666810804.000000000000000
-1,Su-30,1430086.610000000102445,5692117.019999999552965,1,3575411.759999999776483,730.018676446256677,102.270589041365554,1666810804.000000000000000
-1,Su-30,1429716.219999999972060,5692258.799999999813735,1,3575334.649999999906868,730.018676446256677,102.270589041365554,1666810805.000000000000000
-1,Su-30,1402897.169999999925494,5699862.870000000111759,1,3573853.049999999813735,529.857488538239068,149.424706095483202,1666810805.000000000000000
-1,Su-30,1404609.179999999934807,5704044.500000000000000,1,3566547.080000000074506,529.857488538239068,149.424706095483202,1666810805.000000000000000
-1,Su-30,1402786.510000000009313,5700026.750000000000000,1,3573636.450000000186265,529.857488538239068,149.424706095483202,1666810806.000000000000000
-1,Su-30,1429345.810000000055879,5692400.559999999590218,1,3575257.529999999795109,730.018676446256677,102.270589041365554,1666810806.000000000000000
-1,Su-30,1404498.360000000102445,5704208.160000000149012,1,3566330.310000000055879,529.857488538239068,149.424706095483202,1666810806.000000000000000
-1,Su-30,1404387.520000000018626,5704371.820000000298023,1,3566113.540000000037253,529.857488538239068,149.424706095483202,1666810807.000000000000000
-1,Su-30,1428975.389999999897555,5692542.299999999813735,1,3575180.419999999925494,730.018676446256677,102.270589041365554,1666810807.000000000000000
-1,Su-30,1402675.850000000093132,5700190.629999999888241,1,3573419.850000000093132,529.857488538239068,149.424706095483202,1666810807.000000000000000
-1,Su-30,1428604.959999999962747,5692684.009999999776483,1,3575103.299999999813735,730.018676446256677,102.270589041365554,1666810808.000000000000000
-1,Su-30,1404276.669999999925494,5704535.469999999739230,1,3565896.770000000018626,529.857488538239068,149.424706095483202,1666810808.000000000000000
-1,Su-30,1402565.169999999925494,5700354.490000000223517,1,3573203.240000000223517,529.857488538239068,149.424706095483202,1666810808.000000000000000
-1,Su-30,1428234.510000000009313,5692825.690000000409782,1,3575026.189999999944121,730.018676446256677,102.270589041365554,1666810809.000000000000000
-1,Su-30,1402454.479999999981374,5700518.349999999627471,1,3572986.629999999888241,529.857488538239068,149.424706095483202,1666810809.000000000000000
-1,Su-30,1404165.820000000065193,5704699.099999999627471,1,3565679.990000000223517,529.857488538239068,149.424706095483202,1666810809.000000000000000
-1,Su-30,1402343.790000000037253,5700682.190000000409782,1,3572770.009999999776483,529.857488538239068,149.424706095483202,1666810810.000000000000000
-1,Su-30,1404054.949999999953434,5704862.730000000447035,1,3565463.209999999962747,529.857488538239068,149.424706095483202,1666810810.000000000000000
-1,Su-30,1427864.050000000046566,5692967.349999999627471,1,3574949.069999999832362,730.018676446256677,102.270589041365554,1666810810.000000000000000
-1,Su-30,1427493.580000000074506,5693108.980000000447035,1,3574871.950000000186265,730.018676446256677,102.270589041365554,1666810811.000000000000000
-1,Su-30,1402233.080000000074506,5700846.030000000260770,1,3572553.390000000130385,529.857488538239068,149.424706095483202,1666810811.000000000000000
