TrackNumber,Platform,TrackLatitude,TrackLongitude,Track Id,TrackLatLongAltitude,TrackSpeed,TrackHeading,EpocTimeMilliSeconds
3565,Unknown,33.883107277905438,74.994130709603738,1,0,2080.094167115380060,272.838841801603223,1668452400.000000000000000
3883,Mig-29,26.293920215517453,78.246311123111042,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
6155,Su-30,26.287482622380949,78.245149223363740,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
4849,Embraer,26.281935796367449,78.241343090319077,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
6291,Mir-2000,26.278124016488164,78.235472369985189,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
7529,Force Multiplier,26.276627406281136,78.228430686506059,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
2339,Mir-2000,26.277673723788286,78.221289677944128,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
2027,Mirage,26.281103738544374,78.215136079987630,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
5866,Su-30,26.286395436753811,78.210906525051314,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
6177,Unknown,26.300268572632330,78.244651482594932,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
1844,Mir-2000,26.292743390807694,78.209245063953659,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
5057,Mirage,26.304728902921166,78.214210257504988,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
8573,Rafale,26.308541538581817,78.220081622368397,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
4777,Mig-29,26.310038551849903,78.227125126429215,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
1318,Rafale,26.308991948575759,78.234268065152833,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
4054,Su-30,22.792023772225178,88.373558938793494,1,0,53015.372390902797633,307.068012703315617,1668452400.000000000000000
1066,EMB-145,22.788388296119699,88.375810083178280,1,0,53015.372390902797633,307.068012703315617,1668452400.000000000000000
3668,Mir-2000,22.784347933633196,88.377015337197477,1,0,53015.372390902797633,307.068012703315617,1668452400.000000000000000
2435,Mirage,22.780156579213369,88.377099056906772,1,0,53015.372390902797633,307.068012703315617,1668452400.000000000000000
6126,Mig-29,26.299181269711134,78.210405033539473,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
2185,Tejas,26.305561126623093,78.240422572188351,1,0,19477.372479505229421,317.017267782110480,1668452400.000000000000000
3576,Mirage,30.754365029317224,75.651111200857216,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
8895,Embraer,30.749526567484359,75.652473655313329,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
8040,Su-30,30.758641639458236,75.648157754786084,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
1150,Embraer,30.761976307052134,75.643875622674088,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
1654,Force Multiplier,30.764072624507008,75.638645316925079,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
3839,Mir-2000,30.764744242075210,75.632931737524927,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
5260,Embraer,30.763931454627862,75.627242806496071,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
3353,Rafale,30.761706516793101,75.622084251437542,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
2361,Mir-2000,30.758267210674752,75.617914585549130,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
6998,Unknown,30.753919241916897,75.615104313555733,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
2842,Unknown,30.749049038791956,75.613903006751556,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
4827,Mig-29,30.744089384323896,75.614417174037541,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
5227,Rafale,30.739480946312781,75.616600878975547,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
4469,Tejas,30.735633128788717,75.620259908448077,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
2883,Mir-2000,30.732887721058916,75.625069092299029,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
7713,Mig-29,30.731488565109590,75.630601213204770,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
5791,Tejas,30.731559923739802,75.636364932123328,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
8882,Mir-2000,30.733095459522357,75.641848371543261,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
4612,Embraer,30.735958796835771,75.646564509780418,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
1832,Mig-29,30.739895617401572,75.650094383457159,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
6921,Mig-29,30.744556222225999,75.652124284259983,1,0,3126.521833571721800,292.249814265251928,1668452400.000000000000000
5637,Mig-29,22.776077592755442,88.376056082719458,1,0,53015.372390902797633,307.068012703315617,1668452400.000000000000000
3268,Tejas,20.135595801574116,73.918223460456318,1,0,17972.003834250914224,329.253864603057082,1668452400.000000000000000
5004,Unknown,22.772367251324489,88.373952038656725,1,0,53015.372390902797633,307.068012703315617,1668452400.000000000000000
4389,Embraer,22.766947072144450,88.367148102025951,1,0,53015.372390902797633,307.068012703315617,1668452400.000000000000000
4140,Mirage,21.078068632915326,79.056897897435093,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
7811,Mig-29,21.075998821000638,79.052329690158132,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
8640,Tejas,21.075220665203023,79.047325302122701,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
7025,Unknown,21.075797187332938,79.042290033342297,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
1983,Su-30,21.077681695714563,79.037631682405603,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
6439,EMB-145,21.080721563200314,79.033727549963046,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
6442,Mirage,21.084670577996686,79.030893901026431,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
4998,Mir-2000,21.089208871182926,79.029360350880907,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
4478,Mirage,21.081262465041412,79.060659917622772,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
7391,Force Multiplier,21.093968812567169,79.029251247214034,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
6498,Rafale,21.102624412464458,79.033226121319018,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
4568,EMB-145,21.105818760279057,79.036988253755212,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
4266,Force Multiplier,21.107888978043416,79.041557160264745,1,0,28916.623034543496033,295.771412918159513,1668452400.000000000000000
